loss,accuracy,val_loss,val_accuracy
0.2116093635559082,0.9207862019538879,0.12083159387111664,0.9493746161460876
0.11250039935112,0.9523525834083557,0.1304742842912674,0.95175701379776
0.09593313187360764,0.9588379263877869,0.11817312240600586,0.9481834173202515
0.08669822663068771,0.9627423882484436,0.0909825935959816,0.9589040875434875
0.08181923627853394,0.9651247262954712,0.09146431088447571,0.9606909155845642
0.0731072947382927,0.9673747420310974,0.07361618429422379,0.9684336185455322
0.06275640428066254,0.9729998111724854,0.07463028281927109,0.9731983542442322
0.05413486063480377,0.9765733480453491,0.08227460831403732,0.9743894934654236
0.05815625935792923,0.9754483699798584,0.10403823852539062,0.9636688232421875
0.04523622617125511,0.9804116487503052,0.059936732053756714,0.9779630899429321
